,Name,player_id,year,pa,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,iz_contact_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4,PC5
0,"Moreno, Gabriel",672515,2024,351,14.8,11.7,0.255,0.384,0.325,0.331,33.6,6.6,5.9,22.7,21.9,40.6,2.3,41.0,94.221263359,59.2,15.0,21.6,29.1,70.9,85.0,AZ,4.3,0.01225071225071225,-0.1448450716515804,-2.3596084091837852,-0.9314227130494633,2.334753518698979,-0.5430481365509834
1,"DeLuca, Jonny",676356,2024,362,21.3,6.6,0.23,0.318,0.272,0.309,32.7,3.9,4.7,26.1,30.4,29.2,5.8,28.0,92.14905868,71.5,17.0,37.8,36.1,62.8,82.3,TB,4.8,0.013259668508287293,-2.5666348908736762,-0.4018570473901696,0.6698474557089346,-1.5699977785036876,0.022389555854598536
2,"Díaz, Elias",553869,2024,351,19.7,5.7,0.242,0.343,0.28,0.319,31.0,4.7,4.3,24.8,20.9,39.9,4.7,34.5,93.543152344,76.1,18.4,33.2,47.8,52.2,81.6,SD,5.3,0.015099715099715099,-1.5011867849088953,-0.28372921328621575,2.0816775305123163,0.36161758994346926,0.632010168662506
3,"Schneider, Davis",676914,2024,454,31.7,10.4,0.198,0.358,0.292,0.374,38.0,12.0,6.6,22.9,35.7,19.4,3.5,38.0,93.569243488,64.0,22.5,22.9,51.5,48.5,77.5,TOR,11.6,0.02555066079295154,0.7570757689694123,2.0460126436876918,-2.514812032355379,-1.0784425809928313,-0.3085236824761651
4,"Marte, Starling",516782,2024,370,21.9,7.3,0.287,0.425,0.337,0.403,37.1,6.9,7.3,25.9,12.4,40.5,6.9,42.9,94.944189,69.2,18.4,30.1,52.7,46.9,81.0,NYM,8.5,0.022972972972972974,1.6212477210693708,-1.1291290289196605,1.5110392051105495,1.2736227041568,2.0471884378496017
5,"Correa, Carlos",621043,2024,367,16.6,10.9,0.278,0.455,0.358,0.392,34.4,9.2,7.6,21.0,22.5,37.8,1.9,44.7,95.462669198,65.5,13.5,25.5,36.6,63.4,86.5,MIN,13.6,0.037057220708446865,2.424788258335689,-2.1652857914162524,0.03381592974667286,1.4695637585240204,-1.022824082225224
6,"Hoerner, Nico",663538,2024,641,10.3,6.9,0.28,0.353,0.313,0.313,36.0,1.2,2.1,31.0,26.0,35.3,4.2,27.6,91.993965849,63.7,6.9,31.8,22.5,77.5,92.7,CHC,5.7,0.00889235569422777,-2.6660285034182043,-4.426269916814896,0.007125238310901527,-0.6512891684741124,0.6419374338592785
7,"Margot, Manuel",622534,2024,343,15.7,6.1,0.261,0.379,0.308,0.336,30.9,4.9,5.3,27.2,27.9,30.2,3.8,33.6,93.482249961,68.4,13.3,30.3,37.1,62.9,86.0,MIN,4.0,0.011661807580174927,-1.0552093043018864,-1.9342479623364255,0.4515938112378154,-0.5257226396725119,-0.17852491376841834
8,"Pederson, Joc",592626,2024,449,23.4,12.2,0.264,0.48,0.378,0.443,34.2,12.8,5.6,24.8,25.9,26.7,2.6,46.2,95.864061892,60.7,17.9,29.5,37.6,62.4,81.1,AZ,21.6,0.048106904231625836,3.7094750790756,-1.3040058753176724,-1.028127352082773,0.44688526315001637,-0.5834954857779673
9,"Larnach, Trevor",663616,2024,400,22.3,10.0,0.259,0.458,0.345,0.405,36.2,10.1,8.6,23.9,25.0,30.2,1.9,45.1,95.54188573,63.5,15.3,25.6,57.8,42.2,84.7,MIN,14.6,0.0365,2.936019443852397,-0.5282120460175745,-0.6314357373583301,0.6369430734579336,-0.11394030203574548
