Name,player_id,year,ab,k_percent,bb_percent,xba,xslg,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,team_abbrev,xhr,xhr_rate,PC1,PC2,PC3,PC4
"Taillon, Jameson",592791,2024,633,18.5,4.9,0.256,0.419,0.311,0.361,32.2,7.2,5.6,24.3,29.7,28.9,4.1,38.8,94.067909961,65.6,12.1,27.8,39.9,CHC,20.3,0.032069510268562404,0.3777810407046372,0.7565498148797476,-1.1118081424980233,-0.5522803852793143
"Ashcraft, Graham",668933,2024,316,16.3,7.7,0.278,0.438,0.347,0.379,31.9,7.7,5.8,24.6,20.8,38.1,1.9,42.7,94.586504314,72.3,13.2,26.2,46.6,CIN,8.6,0.02721518987341772,1.7131615290387416,1.521219520363982,0.3572668054966587,-0.14007501665566222
"Muñoz, Roddery",682610,2024,327,18.5,11.1,0.279,0.542,0.39,0.44,41.2,13.7,8.4,24.0,26.0,26.0,1.9,45.0,94.738415878,67.4,15.4,25.8,43.0,MIA,25.3,0.07737003058103976,5.002369575653275,-1.4934371829356041,0.28992760468298173,1.23940696022479
"Law, Derek",571882,2024,333,20.8,6.6,0.258,0.362,0.298,0.347,34.5,3.8,4.5,28.0,22.7,37.5,3.4,35.2,93.340480649,67.8,16.0,34.0,50.8,WSH,4.9,0.014714714714714716,-1.5777131081741642,1.5459431069508556,0.21365531507655744,-1.8267597755980514
"López, Pablo",641154,2024,715,25.6,5.3,0.239,0.389,0.297,0.373,35.9,8.2,5.5,26.0,23.9,31.4,5.0,37.5,93.587928673,70.7,19.2,33.0,43.7,MIN,26.4,0.03692307692307692,-0.6470265538391559,-0.4495171521740119,0.20948913561262714,-1.7051492564566029
"Eflin, Zach",621107,2024,653,19.6,3.5,0.249,0.405,0.297,0.353,30.0,7.5,5.4,21.2,27.9,31.9,5.9,36.1,94.040596667,65.6,14.4,32.6,37.7,BAL,21.4,0.032771822358346095,-0.7029533912747284,0.7612227695173888,-1.1691865536303054,-0.9789442835596046
"Crawford, Kutter",676710,2024,695,23.1,6.7,0.224,0.412,0.304,0.361,33.4,9.9,5.9,21.6,33.6,24.6,4.4,36.3,93.646279363,69.4,17.2,32.8,44.3,BOS,34.8,0.05007194244604316,-0.4478081528150223,-1.7599495337405306,-0.8956514847489582,-0.4991370952828105
"Blach, Ty",621389,2024,301,10.9,5.5,0.317,0.571,0.401,0.429,37.8,12.2,5.6,27.0,23.3,25.9,4.8,42.6,94.980568206,69.2,10.5,29.3,25.8,COL,15.4,0.05116279069767442,5.406200658322473,0.9116972498901008,-1.6120029806087246,-1.1002878576230362
"Rea, Colin",607067,2024,656,18.9,6.0,0.272,0.452,0.339,0.391,36.3,8.7,6.8,23.8,27.6,30.0,2.9,42.0,94.594415173,67.7,15.3,24.5,30.9,MIL,24.5,0.037347560975609755,2.225646687975987,0.3309608790717329,-0.7585085155605211,-0.2871190503422633
"Pfaadt, Brandon",694297,2024,707,24.3,5.5,0.246,0.397,0.301,0.374,33.0,8.1,4.7,28.2,26.1,29.4,2.8,39.4,94.224942476,67.0,17.1,29.6,46.4,AZ,22.1,0.03125884016973126,-0.07625086461799731,0.11828307966901211,0.5467564429930628,-1.0047536627952525
"Canning, Griffin",656288,2024,656,17.6,8.9,0.259,0.437,0.334,0.367,32.4,8.6,5.4,25.5,28.5,28.5,3.5,41.9,94.700505891,70.2,14.3,29.2,45.9,LAA,28.4,0.043292682926829265,1.3586783524108983,-0.022251748485065503,-0.12087568754819353,-0.08307993356716391
"Walker, Taijuan",592836,2024,338,15.2,9.7,0.295,0.553,0.396,0.435,37.8,13.4,6.7,24.7,25.1,26.1,3.5,46.3,95.427069787,64.1,10.3,25.1,32.4,PHI,24.7,0.07307692307692308,5.624363768530898,0.11808536813735337,-0.5125874895736147,1.3018768297640246
"Paddack, Chris",663978,2024,360,20.6,5.5,0.272,0.464,0.337,0.403,40.6,9.9,6.7,25.1,28.3,24.7,5.3,43.1,95.101850323,68.1,17.5,30.2,39.0,MIN,14.9,0.04138888888888889,2.417276388966716,-0.7874060306198267,0.1605540735844109,-1.2463907779371544
"Dunning, Dane",641540,2024,373,21.6,9.5,0.262,0.469,0.35,0.408,33.8,10.9,6.7,24.6,23.2,29.9,4.6,45.8,95.254082242,66.0,17.1,25.0,41.2,TEX,17.3,0.04638069705093834,2.6131347218063046,0.04476765882977354,0.8755047696578989,0.9904983146376185
"Keller, Mitch",656605,2024,697,21.5,6.5,0.249,0.409,0.32,0.373,38.0,7.2,6.1,26.1,25.4,30.9,4.3,39.3,94.078079089,64.8,14.4,28.3,39.7,PIT,23.1,0.03314203730272597,0.5731263297928021,0.6093297913459822,-0.25583518719671466,-0.6490591357568707
"Anderson, Tyler",542881,2024,681,18.6,9.5,0.245,0.413,0.322,0.354,34.1,7.9,5.9,23.0,30.0,28.4,4.8,33.0,93.1219435,71.6,20.7,29.5,43.2,LAA,21.7,0.031864904552129224,-0.5666600185894808,-0.8592174030065622,-1.421273174030788,-0.36155862390785065
"Jacob, Alek",689690,2024,52,33.3,3.5,0.216,0.296,0.258,0.35,41.2,2.9,5.9,35.3,32.4,17.6,5.9,32.4,92.451634706,53.3,29.7,25.9,37.9,SD,2.4,0.04615384615384615,-2.903760918157392,-1.2781254092338796,-0.4105084454066429,-1.7797571211335592
"Almonte, Yency",622075,2024,56,29.9,11.9,0.199,0.307,0.283,0.336,32.4,8.1,5.4,21.6,24.3,35.1,5.4,32.4,92.640866486,57.9,13.6,28.8,56.8,CHC,1.0,0.017857142857142856,-3.354910840143885,0.6103690009047842,0.2942662725887472,1.8569243900097447
"Williams, Devin",642207,2024,75,43.2,12.5,0.143,0.204,0.226,0.305,29.7,5.4,5.4,24.3,27.0,32.4,5.4,32.4,91.882778649,69.9,31.4,29.4,56.3,MIL,1.3,0.017333333333333333,-6.854122208997711,-2.378936351553536,1.5987544055888598,0.38074042200435076
"Hernández, Daysbel",678226,2024,63,35.1,13.5,0.169,0.233,0.246,0.299,27.0,2.7,0.0,24.3,40.5,29.7,2.7,27.0,92.388933333,66.4,20.2,32.6,59.3,,0.0,0.0,-6.616162915012628,-1.1335146563662415,-0.1925170097248868,0.5619849252765213
"Walker, Josh",677020,2024,47,19.6,12.5,0.233,0.36,0.313,0.334,39.5,7.9,10.5,18.4,21.1,36.8,5.3,36.8,93.406570789,62.0,11.3,33.9,48.7,NYM,0.6,0.01276595744680851,-1.0425331653878898,0.9570537722302892,0.1776528490467863,0.6398137712862564
"Zeferjahn, Ryan",666171,2024,55,28.1,9.4,0.143,0.174,0.2,0.203,26.3,0.0,2.6,13.2,44.7,36.8,2.6,26.3,91.922343947,70.4,23.7,29.0,51.7,,0.0,0.0,-8.740107888550796,-1.2259244505161293,-2.008590623821439,0.6752114568104647
"Avila, Nick",687014,2024,50,25.5,5.5,0.331,0.529,0.401,0.526,55.3,13.2,15.8,42.1,13.2,13.2,2.6,65.8,96.466132973,75.7,12.3,28.0,48.5,SF,1.8,0.036000000000000004,8.937782654570604,-1.38595495551171,4.97277787741546,-4.110894940559782
"Heller, Ben",621294,2024,54,22.7,9.1,0.266,0.398,0.357,0.396,41.0,7.7,5.1,38.5,20.5,28.2,0.0,46.2,94.345303846,63.5,13.6,27.8,54.8,PIT,0.6,0.011111111111111112,1.9230345750477467,1.2877672198330485,2.2926225166867047,-1.1771805941096685
"Robertson, Nick",687798,2024,52,25.5,3.6,0.287,0.478,0.337,0.44,35.9,10.3,2.6,35.9,28.2,20.5,2.6,48.7,95.081783846,69.1,19.7,31.8,35.3,TOR,2.8,0.05384615384615384,3.222084967408113,-0.7996813977648212,1.1030660202618643,-2.5578135010753353
"Miller, Ryan",668943,2024,50,19.0,13.8,0.245,0.416,0.327,0.364,30.8,10.3,0.0,23.1,28.2,28.2,7.7,35.9,93.798241081,68.8,14.0,27.7,38.5,LAA,0.7,0.013999999999999999,-0.33630306585738357,0.5860704896031084,-1.6511571655993844,1.3077369817971745
